Homann	Mitchell	Noble	GRACE
	orf19.6365	orf19.4182	orf19.7038
	orf19.4116	orf19.4183	orf19.414
	orf19.3678	orf19.4185	orf19.415
	orf19.7381	orf19.4188	orf19.4176
	orf19.3844	orf19.4193	orf19.386
	orf19.1331	orf19.4195	orf19.6885
	orf19.1276	orf19.4211	orf19.4357
	orf19.5761	orf19.4212	orf19.1533
	orf19.7576	orf19.4242	orf19.4844
	orf19.813	orf19.4248	orf19.4866
	orf19.1907	orf19.4270	orf19.5278
	orf19.4846	orf19.4284	orf19.3022
	orf19.4543	orf19.4292	orf19.2199
	orf19.4518	orf19.4308	orf19.2363
	orf19.4823	orf19.4312	orf19.6071
	orf19.7447	orf19.4350	orf19.7237
	orf19.7324	orf19.4353	orf19.6851
	orf19.2350	orf19.4362	orf19.3659
	orf19.10841	orf19.4376	orf19.3263
	orf19.5664	orf19.4407	orf19.3954
	orf19.7610	orf19.4412	orf19.4722
	orf19.248	orf19.4424	orf19.4958
	orf19.425	orf19.4444	orf19.5270
	orf19.4243	orf19.4445	orf19.6029
	orf19.1628	orf19.4459	orf19.947
	orf19.3707	orf19.4466	orf19.7385
	orf19.829	orf19.4471	orf19.3624
	orf19.3254	orf19.4474	orf19.3574
	orf19.1291	orf19.4475	orf19.3937
	orf19.6365	orf19.4496	orf19.4011
	orf19.4969	orf19.4524	orf19.6681
	orf19.2061	orf19.4545	orf19.5601
	orf19.1793	orf19.4566	orf19.612
	orf19.3122	orf19.4569	orf19.1773
	orf19.5887	orf19.4573	orf19.2060
	orf19.4188	orf19.4593	orf19.944
	orf19.4139	orf19.4603	orf19.3282
	orf19.1795	orf19.4640	orf19.3362
	orf19.5100	orf19.4649	orf19.5016
	orf19.6267	orf19.4655	orf19.1632
	orf19.7583	orf19.4658	orf19.2238
	orf19.11659	orf19.4670	orf19.1681
	orf19.7451	orf19.4678	orf19.2303
	orf19.4474	orf19.4707	orf19.2973
	orf19.3012	orf19.4720	orf19.2064
	orf19.6036	orf19.4729	orf19.2343
	orf19.4743	orf19.4738	orf19.752
	orf19.6763	orf19.4744	orf19.1866
	orf19.4010	orf19.4755	orf19.3170
	orf19.7207	orf19.4765	orf19.4577
	orf19.2508	orf19.4771	orf19.5250
	orf19.5016	orf19.4772	orf19.3627
	orf19.5023	orf19.4785	orf19.2418
	orf19.998	orf19.4805	orf19.1058
	orf19.7355	orf19.4843	orf19.927
	orf19.814	orf19.4844	orf19.4922
	orf19.411	orf19.4845	orf19.4701
	orf19.7388	orf19.4859	orf19.2564
	orf19.7388	orf19.4866	orf19.6035
	orf19.896	orf19.4869	orf19.4929
	orf19.896	orf19.4890	orf19.2961
	orf19.7001	orf19.4905	orf19.4639
	orf19.7001	orf19.4916	orf19.713
	orf19.4866	orf19.4941	orf19.5213
	orf19.4866	orf19.4972	orf19.5646
	orf19.5181	orf19.4975	orf19.273
