YSD	Medium	length	diameter	septum	MI
1403	maltose	48.958	41.419	7.333	0.209269595
1403	maltose	43.461	37.268	6.799	0.212751476
1403	maltose	44.944	36.136	6.566	0.225991677
1403	maltose	44.562	36.962	9.475	0.309053003
1403	maltose	38.976	36.381	12.293	0.36199776
1403	maltose	46.135	30.818	4.807	0.233504764
1403	maltose	60.93	50.182	13.499	0.326615539
1403	maltose	53.421	40.277	14.636	0.481970197
1403	maltose	42.547	29.469	6.289	0.308119894
1403	maltose	45.338	35.734	9.068	0.321966438
1403	maltose	48.671	42.526	9.911	0.266734183
1403	maltose	43.843	38.303	12.257	0.366284776
1403	maltose	47.225	36.375	6.6	0.23556453
1403	maltose	46.519	36.08	6.289	0.22473924
1403	maltose	46.212	38.759	10.77	0.331302979
1403	maltose	37.333	28.698	12.019	0.544826174
1403	maltose	55.658	40.354	6.667	0.227868804
1403	maltose	49.607	38.256	11.795	0.399799081
1403	maltose	47.712	39.215	14.142	0.43876706
1403	maltose	41.382	28.667	7.333	0.369256942
1403	maltose	50.934	40	7.775	0.247507406
1403	maltose	54.016	40.139	12.166	0.407884438
1403	maltose	47.14	36.782	7.601	0.26484369
1403	maltose	46.308	27.921	5.207	0.309301243
1403	maltose	41.015	30.782	6.667	0.288588821
1403	maltose	50.195	38.303	8.353	0.285783637
1403	maltose	43.333	32.938	12.737	0.50873481
1403	maltose	54.865	42.005	14.667	0.456073352
1403	maltose	56.667	42	10	0.321241497
1403	maltose	48.12	34.782	7.333	0.291674325
1403	maltose	36.667	30.645	8.353	0.326135901
1403	maltose	48.899	36.375	7.211	0.266495248
1403	maltose	54.91	40.359	9.286	0.313039636
1403	maltose	56.576	31.693	5.077	0.285964881
1403	maltose	43.98	34.163	7.454	0.280887629
1403	maltose	42.687	29.288	5.963	0.296743361
1403	maltose	40.705	30.536	7.775	0.339409398
1403	maltose	47.796	37.906	8.246	0.274295679
1403	maltose	54.328	39.626	10.667	0.369067278
1403	maltose	45.068	35.333	9.545	0.344574545
1403	maltose	48.282	36.154	9.545	0.352572534
1403	maltose	44.845	38.649	8.246	0.247560206
1403	maltose	48.295	36.497	8.667	0.314236502
1403	maltose	47.202	36.025	6.325	0.230045081
1403	maltose	46.648	37.047	8.433	0.286621681
1403	maltose	51.403	39.356	6.864	0.227794816
1410	dextrose	162.803	22.706	15.202	4.80044905
1410	dextrose	749.031	29.333	37.19	32.37524071
1410	dextrose	70.98	46.514	16.707	0.548109198
1410	dextrose	456.804	37.047	26.264	8.741474141
1410	dextrose	52.431	49.092	12.53	0.272594922
1410	dextrose	62.097	40.804	9.22	0.343871405
1410	dextrose	60.308	30.61	27.803	1.789533887
1410	dextrose	128.701	27.659	27.785	4.674330046
1410	dextrose	55.172	53.814	20.518	0.39089778
1410	dextrose	60.415	41.881	17.029	0.586542978
1410	dextrose	59.841	37.656	8	0.337614009
1410	dextrose	61.008	46	11.045	0.318446767
1410	dextrose	50.09	39.56	11.662	0.373260044
1410	dextrose	59	41	8	0.280785247
1410	dextrose	56.462	49.659	18.601	0.425889184
1410	dextrose	62.801	42.521	15	0.521015782
1410	dextrose	63.159	45.188	8.544	0.264271448
1410	dextrose	64.405	45.88	14.318	0.438081713
1410	dextrose	62.129	47.202	15.811	0.440892693
1410	dextrose	59.481	44.418	10.296	0.310405062
1410	dextrose	54.672	40.46	12.042	0.402171997
1410	dextrose	53.935	43.932	11.402	0.318632279
1410	dextrose	58.078	41	11	0.380046401
1410	dextrose	49.163	38.118	8	0.270687469
1410	dextrose	59.135	43.463	9.055	0.283461223
1410	dextrose	43.681	32.573	8.944	0.368221247
1410	dextrose	58.941	44.272	13.416	0.403443076
1410	dextrose	55.471	38.275	9.487	0.359223299
1410	dextrose	49.163	24.187	14.318	1.203252368
1410	dextrose	51.352	36.674	11.314	0.431973371
1410	dextrose	50.329	41.773	8.485	0.24472527
1410	dextrose	50.99	39.699	12.207	0.394943365
1410	dextrose	50.217	40.863	9.333	0.280680043
1410	dextrose	54.813	36.764	9.333	0.378494282
1410	dextrose	33.869	24.037	6.289	0.368657813
1410	dextrose	33.34	26.077	4.269	0.209303503
1410	dextrose	33.954	22.647	5.207	0.344712603
1410	dextrose	38.759	31.02	6.864	0.276481611
1410	dextrose	36.782	27.358	7.087	0.348280438
1410	dextrose	34.319	29.53	7.803	0.30709259
1410	dextrose	36.228	23.935	8.944	0.56559985
1410	dextrose	42.547	32.931	13.416	0.526359123
1410	dextrose	55.817	39.129	11.411	0.415999394
1410	dextrose	55.285	37.535	5.735	0.225044237
1410	dextrose	54.459	34.267	8.028	0.372327279
1410	dextrose	56.765	35.509	43.333	1.950843878
1410	dextrose	55.622	53.35	11.333	0.221473945
1410	dextrose	52.226	40.585	10	0.317070373
1410	dextrose	43.676	29.159	10.853	0.557503257
1410	dextrose	57.969	36.818	7.775	0.332487881
1410	dextrose	54.377	33.993	8.138	0.382960464
1410	dextrose	55.634	41.015	9.475	0.313353156
1410	dextrose	55.12	43.267	10.176	0.299621339
