gene	GRACE	Homann	Mitchell	Noble
orf19.2973	1	0	0	0
orf19.2974	1	0	0	0
orf19.2977	1	0	0	0
orf19.2983	1	0	0	0
orf19.2984	1	0	0	0
orf19.2987	1	0	0	0
orf19.2988	1	0	0	0
orf19.299	1	0	1	1
orf19.2990	1	0	1	0
orf19.2991	1	0	0	0
orf19.2996	1	0	1	0
orf19.2998	1	0	0	0
orf19.300	1	0	0	0
orf19.3000	1	0	0	0
orf19.3001	1	0	0	0
orf19.3003	1	0	0	0
orf19.3006	1	0	0	0
orf19.3010	1	0	1	0
orf19.3012	1	1	1	1
orf19.3013	1	0	0	0
orf19.3016	1	0	0	0
orf19.302	1	0	0	0
orf19.3022	1	0	0	0
orf19.3023	1	0	1	0
orf19.3026	1	0	0	0
orf19.3027	1	0	0	0
orf19.3029	1	0	0	1
orf19.3031	1	0	0	0
orf19.3034	1	0	0	0
orf19.3035	1	0	0	0
orf19.3037	1	0	0	0
orf19.3038	1	0	1	0
orf19.304	1	0	0	0
orf19.3042	1	0	0	0
orf19.3047	1	0	1	0
orf19.3049	1	0	1	1
orf19.3050	1	0	0	0
orf19.3051	1	0	0	0
orf19.3052	1	0	0	0
orf19.3054	1	0	0	0
orf19.3055	1	0	0	0
orf19.3058	1	0	0	0
orf19.3059	1	0	0	0
orf19.3060	1	0	0	1
orf19.3062	1	0	0	0
orf19.3064	1	0	0	0
orf19.3065	1	0	0	0
orf19.3066	1	0	0	1
orf19.307	1	0	0	0
orf19.3071	1	0	0	0
orf19.308	1	0	0	0
orf19.3083	1	0	0	0
orf19.3086	1	0	0	0
orf19.3087	1	0	0	0
orf19.3089	1	0	0	0
orf19.309	1	0	0	0
orf19.3098	1	0	0	0
orf19.3099	1	0	0	0
orf19.3100	1	0	0	0
orf19.3103	1	0	0	0
orf19.3106	1	0	0	0
orf19.3111	1	0	1	1
orf19.3112	1	0	1	1
orf19.3116	1	0	0	1
orf19.3121	1	0	0	0
orf19.3122	1	0	1	1
orf19.3123	1	0	0	0
orf19.3124	1	0	0	0
orf19.3126	1	0	0	0
orf19.3128	1	0	0	0
orf19.3129	1	0	0	0
orf19.313	1	0	0	0
orf19.3130	1	0	0	0
orf19.3131	1	0	0	0
orf19.3139	1	0	0	0
orf19.314	1	0	0	0
orf19.3142	1	0	0	0
orf19.3149	1	0	0	0
orf19.3150	1	0	0	0
orf19.3151	1	0	0	0
orf19.3152	1	0	0	0
orf19.316	1	0	0	0
orf19.3161	1	0	0	0
orf19.3166	1	0	0	0
orf19.3168	1	0	0	0
orf19.3169	1	0	0	0
orf19.3170	1	0	0	0
orf19.3173	1	0	0	0
orf19.3174	1	0	0	0
orf19.3175	1	0	0	0
orf19.3176	1	0	0	0
orf19.3177	1	0	0	0
orf19.3178	1	0	0	1
orf19.318	1	0	0	0
orf19.3203	1	0	0	1
orf19.3206	1	0	0	0
orf19.3207	1	0	0	1
orf19.3208	1	0	1	0
orf19.3211	1	0	0	0
orf19.3212	1	0	0	1
orf19.3213	1	0	0	0
orf19.3219	1	0	0	0
orf19.3222	1	0	0	0
orf19.3226	1	0	0	1
orf19.3227	1	0	0	0
orf19.3228	1	0	0	0
orf19.3230	1	0	0	0
orf19.3232	1	0	0	0
orf19.3234	1	0	0	0
orf19.3237	1	0	0	1
orf19.3240	1	0	0	0
orf19.3242	1	0	0	0
orf19.3243	1	0	0	0
orf19.3247	1	0	0	0
orf19.3249	1	0	0	0
orf19.325	1	0	0	0
orf19.3250	1	0	0	0
orf19.3251	1	0	0	0
orf19.3256	1	0	1	0
orf19.3259	1	0	0	0
orf19.3263	1	0	0	0
orf19.3265	1	0	0	0
orf19.3267	1	0	0	0
orf19.3273	1	0	0	0
orf19.3276	1	0	0	1
orf19.3282	1	0	0	0
orf19.329	1	0	0	0
orf19.3290	1	0	0	1
orf19.3292	1	0	0	0
orf19.3293	1	0	0	0
orf19.3298	1	0	0	0
orf19.330	1	0	0	0
orf19.3300	1	0	0	0
orf19.3301	1	0	0	0
orf19.3302	1	0	0	0
orf19.3304	1	0	0	0
orf19.3307	1	0	0	0
orf19.3308	1	1	1	0
orf19.331	1	0	0	0
orf19.3314	1	0	0	1
orf19.3317	1	0	0	1
orf19.3319	1	0	0	0
orf19.332	1	0	0	0
orf19.3321	1	0	0	0
orf19.3322	1	0	0	1
orf19.3324	1	0	0	0
orf19.3325	1	0	0	0
orf19.3327	1	0	0	0
orf19.3329	1	0	0	0
orf19.333	1	0	0	1
orf19.3330	1	0	0	1
orf19.3333	1	0	0	0
orf19.3334	1	0	0	0
orf19.3340	1	0	0	0
orf19.3341	1	0	0	0
orf19.3347	1	0	0	0
orf19.3348	1	0	0	0
orf19.3349	1	0	0	0
orf19.3352	1	0	0	0
orf19.3355	1	0	0	0
orf19.3356	1	0	0	0
orf19.336	1	0	0	0
orf19.3362	1	0	0	0
orf19.3363	1	0	0	0
orf19.3365	1	0	0	0
orf19.3366	1	0	0	0
orf19.3367	1	0	0	0
orf19.3368	1	0	0	0
orf19.3369	1	0	0	0
orf19.337	1	0	1	0
orf19.339	1	0	0	0
orf19.3391	1	0	0	0
orf19.3393	1	0	0	0
orf19.3395	1	0	0	1
orf19.3399	1	0	0	0
orf19.3402	1	0	0	1
orf19.3406	1	0	0	0
orf19.3407	1	0	1	1
orf19.3409	1	0	0	0
orf19.341	1	0	0	1
orf19.3412	1	0	0	1
orf19.3415	1	0	1	0
orf19.3417	1	0	0	1
orf19.3422	1	0	0	1
orf19.3432	1	0	0	0
orf19.3434	1	1	1	1
orf19.3441	1	0	0	0
orf19.3442	1	0	0	0
orf19.3444	1	0	0	0
orf19.3445	1	0	0	0
orf19.3447	1	0	0	0
orf19.3449	1	0	0	1
orf19.3451	1	0	0	0
orf19.3455	1	0	0	0
orf19.3458	1	0	0	0
orf19.3462	1	0	0	0
orf19.3463	1	0	0	0
orf19.3465	1	0	0	0
orf19.3466	1	0	0	0
orf19.3467	1	0	0	0
orf19.3468	1	0	0	0
orf19.3474	1	0	0	0
orf19.3476	1	0	0	0
orf19.3478	1	0	0	0
orf19.3481	1	0	0	0
orf19.3482	1	0	0	0
orf19.349	1	0	0	0
orf19.3496	1	0	0	0
orf19.350	1	0	0	0
orf19.3505	1	0	0	0
orf19.3507	1	0	0	0
orf19.351	1	0	0	0
orf19.3524	1	0	0	0
orf19.3526	1	0	0	0
orf19.3531	1	0	0	0
orf19.3532	1	0	0	0
orf19.3533	1	0	0	0
orf19.3534	1	0	0	1
orf19.3536	1	0	0	0
orf19.3539	1	0	0	0
orf19.354	1	0	0	0
orf19.3540	1	0	0	1
orf19.3541	1	0	0	1
orf19.3542	1	0	0	0
orf19.3544	1	0	0	0
orf19.3545	1	0	1	0
orf19.3546	1	0	0	0
orf19.3548	1	0	0	0
orf19.355	1	0	0	0
orf19.3551	1	0	0	0
orf19.3553	1	0	0	0
orf19.3555	1	0	0	0
orf19.3557	1	0	0	0
orf19.3558	1	0	0	0
orf19.3560	1	0	0	0
orf19.3561	1	0	0	0
orf19.3564	1	0	0	0
orf19.3567	1	0	0	0
orf19.3574	1	0	0	1
orf19.3575	1	0	0	1
orf19.3577	1	0	0	0
orf19.3581	1	0	0	0
orf19.3585	1	0	0	0
orf19.3586	1	0	0	0
orf19.3589	1	0	0	0
orf19.3590	1	0	0	0
orf19.3591	1	0	0	0
orf19.3592	1	0	0	1
orf19.3593	1	0	0	0
orf19.3606	1	0	0	0
orf19.3607	1	0	0	0
orf19.3608	1	0	0	0
orf19.3609	1	0	0	0
orf19.3612	1	0	0	0
orf19.3613	1	0	0	0
orf19.3623	1	0	0	0
orf19.3624	1	0	0	0
orf19.3627	1	0	0	0
orf19.3628	1	0	0	0
orf19.3630	1	0	0	0
orf19.3641	1	0	0	0
